K Value,Random State,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score
11,8538320,7888,234,1998,626,0.7922948073701842,0.797896014566053,0.9711893622260527,0.8760550866281652
12,80,7996,152,2071,527,0.7931323283082077,0.7942783351544651,0.9813451153657339,0.8779577271479551
12,225,7972,158,2043,573,0.795179601712265,0.7960059910134798,0.9805658056580566,0.8786993662165887
12,2067,8012,187,2022,525,0.7944351386562442,0.7984851504883397,0.9771923405293328,0.8788460483738276
12,4133,8075,145,1976,550,0.8026242322724735,0.8034026465028355,0.982360097323601,0.8839143998686443
12,6741,8031,125,2048,542,0.7977852224083379,0.796805238614942,0.9846738597351643,0.8808335618316424
12,9931,7998,152,2054,542,0.794714312302252,0.7956625547154795,0.9813496932515338,0.8788045269750577
12,58146,7983,175,2074,514,0.7907128233761399,0.7937754797653376,0.9785486638882079,0.8765303321438377
12,79327,8033,168,2013,532,0.7970407593523171,0.7996217399960183,0.9795146933300817,0.8804735024935606
12,3114652,7951,137,2099,559,0.7919225758421738,0.7911442786069651,0.9830613254203758,0.8767229021942883
12,8538320,7992,130,2078,546,0.7945281965382468,0.7936444885799404,0.9839940901255848,0.8786279683377308
13,80,7935,213,2011,587,0.7930392704262051,0.7978081640860647,0.9738586156111929,0.877086326959213
13,225,7936,194,2011,605,0.7948073701842546,0.7978284910023122,0.9761377613776138,0.8780217956519334
